fund_id,fonds,jaar,veld,database,verslag,actie,pagina,vindplaats
11,Bakkersbedrijf (Bakeries),2024,nominale_dekkingsgraad_pct,,115.5,gevuld,6,"Dekkingsgraad 130,1% | 115,5%"
11,Bakkersbedrijf (Bakeries),2024,reele_dekkingsgraad_pct,,86.9,gevuld,6,"Reële dekkingsgraad 87,0% | 86,9%"
11,Bakkersbedrijf (Bakeries),2024,deelnemers_totaal,,146651,gevuld,6,Totaal aantal deelnemers 146.809 | 146.651
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,beleggingsrendement_pct,-11.9,-11.6,vervangen,5,"Rendement -11,60% 8,52%"
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,nominale_dekkingsgraad_pct,,116.6,gevuld,6,"Actuele dekkingsgraad 116,6% 105,9%"
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,reele_dekkingsgraad_pct,,78.3,gevuld,6,"Reële dekkingsgraad 78,3% 78,3%"
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,vereiste_dekkingsgraad_pct,107.9,114.8,vervangen,6,"Vereiste dekkingsgraad 114,8% 115,2%"
12,Banden- en Wielenbranche (Tire and Wheel Branch),2025,aum_euro_bn,0.807,1.249048,vervangen,59,Beleggingen voor risico pensioenfonds ... 1.249.048 861.224 (x EUR 1.000)
12,Banden- en Wielenbranche (Tire and Wheel Branch),2024,nominale_dekkingsgraad_pct,,105.9,gevuld,6,"Actuele dekkingsgraad 116,6% 105,9%"
12,Banden- en Wielenbranche (Tire and Wheel Branch),2024,reele_dekkingsgraad_pct,,78.3,gevuld,6,"Reële dekkingsgraad 78,3% 78,3%"
13,Beroepsvervoer over de Weg (Commercial Road Transport),2025,nominale_dekkingsgraad_pct,,127.5,gevuld,5,"Actuele dekkingsgraad volgens FTK in % (a / b) 127,5% 111,3%"
13,Beroepsvervoer over de Weg (Commercial Road Transport),2025,reele_dekkingsgraad_pct,,86.5,gevuld,5,"Reële dekkingsgraad 86,5% 82,2%"
13,Beroepsvervoer over de Weg (Commercial Road Transport),2025,deelnemers_actief,196941,200228,vervangen,5,"Deelnemers, actief en voortgezet 200.228 196.941"
13,Beroepsvervoer over de Weg (Commercial Road Transport),2024,nominale_dekkingsgraad_pct,,111.3,gevuld,5,"Actuele dekkingsgraad volgens FTK in % (a / b) 127,5% 111,3%"
14,Beton / Betonproductenindustrie (Concrete Industry),2025,beleggingsrendement_pct,-4.9,-4.68,vervangen,14,"Performance -4,68% 8,20% 9,04% (kop 2025 2024 2023)"
14,Beton / Betonproductenindustrie (Concrete Industry),2025,nominale_dekkingsgraad_pct,,125.7,gevuld,14,"Aanwezige dekkingsgraad 125,7% 112,0% 110,0%"
14,Beton / Betonproductenindustrie (Concrete Industry),2025,reele_dekkingsgraad_pct,,85.7,gevuld,17,"actuele dekkingsgraad, beleidsdekkingsgraad, vereiste dekkingsgraad en reële dekkingsgraad respectievelijk 125,7%, 118,8%, 116,4% en 85,7% (ultimo 2024: 112,0%, 112,7%, 115,7% en 83,4%)"
14,Beton / Betonproductenindustrie (Concrete Industry),2025,vereiste_dekkingsgraad_pct,116.9,116.4,vervangen,17,"vereiste dekkingsgraad ... 116,4% (ultimo 2024: ... 115,7%)"
14,Beton / Betonproductenindustrie (Concrete Industry),2024,nominale_dekkingsgraad_pct,,112.0,gevuld,14,"Aanwezige dekkingsgraad 125,7% 112,0% 110,0%"
14,Beton / Betonproductenindustrie (Concrete Industry),2024,reele_dekkingsgraad_pct,,83.4,gevuld,17,"actuele dekkingsgraad, beleidsdekkingsgraad, vereiste dekkingsgraad en reële dekkingsgraad respectievelijk 125,7%, 118,8%, 116,4% en 85,7% (ultimo 2024: 112,0%, 112,7%, 115,7% en 83,4%)"
15,Bouw / BPFBouw (Construction),2025,nominale_dekkingsgraad_pct,,141.0,gevuld,11,"Dekkingsgraad (in procenten) 141,0 125,6"
15,Bouw / BPFBouw (Construction),2025,reele_dekkingsgraad_pct,,97.5,gevuld,29,"2025 141,0 133,1 97,5 / 2024 125,6 126,3 94,5 (Reële dekkingsgraad ultimo jaar)"
15,Bouw / BPFBouw (Construction),2025,deelnemers_actief,151362,158410,vervangen,10,- Actieve deelnemers 158.410 151.362
15,Bouw / BPFBouw (Construction),2025,deelnemers_slapers,340126,330636,vervangen,10,- Gewezen deelnemers 330.636 340.126
15,Bouw / BPFBouw (Construction),2025,deelnemers_pensioengerechtigd,162319,246917,vervangen,10,- Pensioengerechtigden 246.917 246.659
15,Bouw / BPFBouw (Construction),2025,deelnemers_totaal,653807,746664,vervangen,10,Totaal 746.664 749.104
15,Bouw / BPFBouw (Construction),2024,nominale_dekkingsgraad_pct,,125.6,gevuld,11,"Dekkingsgraad (in procenten) 141,0 125,6"
15,Bouw / BPFBouw (Construction),2024,reele_dekkingsgraad_pct,,94.5,gevuld,29,"2025 141,0 133,1 97,5 / 2024 125,6 126,3 94,5 (Reële dekkingsgraad ultimo jaar)"
15,Bouw / BPFBouw (Construction),2024,deelnemers_actief,,151362,gevuld,10,- Actieve deelnemers 158.410 151.362
15,Bouw / BPFBouw (Construction),2024,deelnemers_slapers,,340126,gevuld,10,- Gewezen deelnemers 330.636 340.126
15,Bouw / BPFBouw (Construction),2024,deelnemers_pensioengerechtigd,,246659,gevuld,10,- Pensioengerechtigden 246.917 246.659
15,Bouw / BPFBouw (Construction),2024,deelnemers_totaal,,749104,gevuld,10,Totaal 746.664 749.104
16,BPL Pensioen (Agriculture),2025,nominale_dekkingsgraad_pct,,133.3,gevuld,11,"Actuele dekkingsgraad 133,3% 115,3%"
16,BPL Pensioen (Agriculture),2025,reele_dekkingsgraad_pct,,89.7,gevuld,11,"Reële dekkingsgraad 89,7% 86,8%"
16,BPL Pensioen (Agriculture),2025,deelnemers_actief,,136349,gevuld,10,"Deelnemers, actief en voortgezet 136.349 133.388"
16,BPL Pensioen (Agriculture),2025,deelnemers_pensioengerechtigd,20,84328,vervangen,10,Pensioengerechtigden 84.328 80.495
16,BPL Pensioen (Agriculture),2025,deelnemers_totaal,454318,678488,vervangen,43,Totaal inclusief ex-deelnemers 678.488 668.161
16,BPL Pensioen (Agriculture),2024,nominale_dekkingsgraad_pct,,115.3,gevuld,11,"Actuele dekkingsgraad 133,3% 115,3%"
16,BPL Pensioen (Agriculture),2024,deelnemers_totaal,,668161,gevuld,43,Totaal inclusief ex-deelnemers 678.488 668.161
17,Detailhandel (Retail),2025,beleggingsrendement_pct,-4.5,-4.8,vervangen,13,"Bruto rendement op totale beleggingen -4,8% 9,2%"
17,Detailhandel (Retail),2025,nominale_dekkingsgraad_pct,,137.1,gevuld,13,"Aanwezige dekkingsgraad 137,1% 117,2%"
17,Detailhandel (Retail),2025,reele_dekkingsgraad_pct,,90.2,gevuld,26,"reële dekkingsgraad van 90,2%. Dit is iets hoger dan eind 2024 (89,5%)"
17,Detailhandel (Retail),2025,deelnemers_actief,366980,371769,vervangen,13,Actieve deelnemers (inclusief AO) 371.769 366.980
17,Detailhandel (Retail),2025,deelnemers_slapers,751937,785575,vervangen,13,Gewezen deelnemers 785.575 751.937
17,Detailhandel (Retail),2025,deelnemers_pensioengerechtigd,168771,173347,vervangen,13,Gepensioneerden 173.347 168.771
17,Detailhandel (Retail),2025,deelnemers_totaal,1287688,1330691,vervangen,13,Totaal 1.330.691 1.287.688
17,Detailhandel (Retail),2024,nominale_dekkingsgraad_pct,,117.2,gevuld,13,"Aanwezige dekkingsgraad 137,1% 117,2%"
17,Detailhandel (Retail),2024,reele_dekkingsgraad_pct,,89.5,gevuld,26,"reële dekkingsgraad van 90,2%. Dit is iets hoger dan eind 2024 (89,5%)"
17,Detailhandel (Retail),2024,deelnemers_actief,,366980,gevuld,13,Actieve deelnemers (inclusief AO) 371.769 366.980
17,Detailhandel (Retail),2024,deelnemers_slapers,,751937,gevuld,13,Gewezen deelnemers 785.575 751.937
17,Detailhandel (Retail),2024,deelnemers_pensioengerechtigd,,168771,gevuld,13,Gepensioneerden 173.347 168.771
17,Detailhandel (Retail),2024,deelnemers_totaal,,1287688,gevuld,13,Totaal 1.330.691 1.287.688
18,HiBiN (Building Materials Trade),2025,nominale_dekkingsgraad_pct,,133.0,gevuld,4,"Dekkingsgraad 133,0% 111,8% 110,7%"
18,HiBiN (Building Materials Trade),2025,reele_dekkingsgraad_pct,,84.8,gevuld,4,"Reële dekkingsgraad 84,80% 82,3% 82,1%"
18,HiBiN (Building Materials Trade),2025,deelnemers_actief,10556,10785,vervangen,4,Actieve deelnemers 10.785 10.556 10.459
18,HiBiN (Building Materials Trade),2024,nominale_dekkingsgraad_pct,,111.8,gevuld,4,"Dekkingsgraad 133,0% 111,8% 110,7%"
18,HiBiN (Building Materials Trade),2024,reele_dekkingsgraad_pct,,82.3,gevuld,4,"Reële dekkingsgraad 84,80% 82,3% 82,1%"
19,Horeca & Catering (Hospitality),2025,nominale_dekkingsgraad_pct,,155.2,gevuld,7,"Dekkingsgraad* op basis van FTK 2025 155,2% | 2024 130,8%"
19,Horeca & Catering (Hospitality),2025,reele_dekkingsgraad_pct,,99.1,gevuld,10,"De reële dekkingsgraad bedroeg eind 2025 99,1% (2024: 96,7%)"
19,Horeca & Catering (Hospitality),2025,vereiste_dekkingsgraad_pct,125.8,126.0,vervangen,10,"Het vereist eigen vermogen ... bedroeg op 31 december 2025 126,0%. Eind 2024 bedroeg het vereist eigen vermogen 122,7%"
19,Horeca & Catering (Hospitality),2024,nominale_dekkingsgraad_pct,,130.8,gevuld,7,"Dekkingsgraad* op basis van FTK 2025 155,2% | 2024 130,8%"
19,Horeca & Catering (Hospitality),2024,reele_dekkingsgraad_pct,,96.7,gevuld,10,"De reële dekkingsgraad bedroeg eind 2025 99,1% (2024: 96,7%)"
20,Kappersbedrijf (Hairdressers),2025,nominale_dekkingsgraad_pct,,129.3,gevuld,9,"Actuele dekkingsgraad 2025 129,3% | 2024 108,1%"
20,Kappersbedrijf (Hairdressers),2025,reele_dekkingsgraad_pct,,80.9,gevuld,38,"De reële dekkingsgraad van het pensioenfonds steeg in 2025 van 77,2% naar 80,9%"
20,Kappersbedrijf (Hairdressers),2025,deelnemers_slapers,52507,53634,vervangen,78,Gewezen deelnemers 52.507 ... 53.634
20,Kappersbedrijf (Hairdressers),2025,deelnemers_pensioengerechtigd,4433,4742,vervangen,78,Pensioengerechtigden 4.433 ... 4.742
20,Kappersbedrijf (Hairdressers),2025,deelnemers_totaal,77384,78781,vervangen,78,Totaal alle deelnemers 77.384 ... 78.781
20,Kappersbedrijf (Hairdressers),2024,nominale_dekkingsgraad_pct,,108.1,gevuld,9,"Actuele dekkingsgraad 2025 129,3% | 2024 108,1%"
20,Kappersbedrijf (Hairdressers),2024,reele_dekkingsgraad_pct,,77.2,gevuld,38,"De reële dekkingsgraad van het pensioenfonds steeg in 2025 van 77,2% naar 80,9%"
20,Kappersbedrijf (Hairdressers),2024,deelnemers_slapers,,52507,gevuld,78,Gewezen deelnemers 52.507 ... 53.634
20,Kappersbedrijf (Hairdressers),2024,deelnemers_pensioengerechtigd,,4433,gevuld,78,Pensioengerechtigden 4.433 ... 4.742
20,Kappersbedrijf (Hairdressers),2024,deelnemers_totaal,,77384,gevuld,78,Totaal alle deelnemers 77.384 ... 78.781
21,Koopvaardij (Merchant Navy),2025,beleidsdekkingsgraad_pct,123.3,123.1,vervangen,5,"Beleidsdekkingsgraad 3) 123,1% 119,4%"
21,Koopvaardij (Merchant Navy),2025,nominale_dekkingsgraad_pct,,129.2,gevuld,5,"Dekkingsgraad (f = e / a) 129,2% 117,8%"
21,Koopvaardij (Merchant Navy),2025,reele_dekkingsgraad_pct,,92.2,gevuld,5,"Reële dekkingsgraad 4) 92,2% 90,5%"
21,Koopvaardij (Merchant Navy),2025,deelnemers_actief,4635,4770,vervangen,5,Actieve deelnemers 4.770 4.635
21,Koopvaardij (Merchant Navy),2025,deelnemers_slapers,17885,18243,vervangen,5,Gewezen deelnemers 1) 18.243 17.885
21,Koopvaardij (Merchant Navy),2025,deelnemers_pensioengerechtigd,25455,24876,vervangen,5,Pensioengerechtigden 24.876 25.455
21,Koopvaardij (Merchant Navy),2024,nominale_dekkingsgraad_pct,,117.8,gevuld,5,"Dekkingsgraad (f = e / a) 129,2% 117,8%"
21,Koopvaardij (Merchant Navy),2024,reele_dekkingsgraad_pct,,90.5,gevuld,5,"Reële dekkingsgraad 4) 92,2% 90,5%"
22,Levensmiddelen / BPFL (Food Industry),2025,beleidsdekkingsgraad_pct,,118.4,gevuld,7,"Beleidsdekkingsgraad 2025 118,4% | 2024 109,2%"
22,Levensmiddelen / BPFL (Food Industry),2025,nominale_dekkingsgraad_pct,,127.2,gevuld,7,"Dekkingsgraad 2025 127,2% | 2024 110,2%"
22,Levensmiddelen / BPFL (Food Industry),2025,reele_dekkingsgraad_pct,,82.3,gevuld,14,"Ultimo 2025 bedroeg de reële dekkingsgraad 82,3% (ultimo 2024 was dit 79,5%)"
22,Levensmiddelen / BPFL (Food Industry),2025,vereiste_dekkingsgraad_pct,,118.0,gevuld,7,"Vereiste dekkingsgraad 2025 118,0% | 2024 117,2%"
22,Levensmiddelen / BPFL (Food Industry),2025,rente_afdekking_pct,,74.2,gevuld,100,"De feitelijke renteafdekking op basis van de DNB-methodiek bedraagt 74,2% eind 2025"
22,Levensmiddelen / BPFL (Food Industry),2025,aum_euro_bn,,5.786419,gevuld,6,Beleggingen (in duizenden euro) 2025 5.786.419 | 2024 6.344.214
22,Levensmiddelen / BPFL (Food Industry),2025,deelnemers_actief,,143920,gevuld,6,"Actieve deelnemers, exclusief arbeidsongeschikten 2025 143.920 | 2024 144.794"
22,Levensmiddelen / BPFL (Food Industry),2025,deelnemers_slapers,,247822,gevuld,6,Gewezen deelnemers 2025 247.822 | 2024 234.889
22,Levensmiddelen / BPFL (Food Industry),2025,deelnemers_pensioengerechtigd,,28282,gevuld,6,Pensioengerechtigden met uitkering 2025 28.282 | 2024 26.742
22,Levensmiddelen / BPFL (Food Industry),2025,deelnemers_totaal,,428364,gevuld,6,Totaal aantal deelnemers 2025 428.364 | 2024 413.803
22,Levensmiddelen / BPFL (Food Industry),2024,nominale_dekkingsgraad_pct,,110.2,gevuld,7,"Dekkingsgraad 2025 127,2% | 2024 110,2%"
22,Levensmiddelen / BPFL (Food Industry),2024,reele_dekkingsgraad_pct,,79.5,gevuld,14,"Ultimo 2025 bedroeg de reële dekkingsgraad 82,3% (ultimo 2024 was dit 79,5%)"
22,Levensmiddelen / BPFL (Food Industry),2024,deelnemers_actief,,144794,gevuld,6,"Actieve deelnemers, exclusief arbeidsongeschikten 2025 143.920 | 2024 144.794"
22,Levensmiddelen / BPFL (Food Industry),2024,deelnemers_slapers,,234889,gevuld,6,Gewezen deelnemers 2025 247.822 | 2024 234.889
22,Levensmiddelen / BPFL (Food Industry),2024,deelnemers_pensioengerechtigd,,26742,gevuld,6,Pensioengerechtigden met uitkering 2025 28.282 | 2024 26.742
22,Levensmiddelen / BPFL (Food Industry),2024,deelnemers_totaal,,413803,gevuld,6,Totaal aantal deelnemers 2025 428.364 | 2024 413.803
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2025,nominale_dekkingsgraad_pct,,118.2,gevuld,10,"Aanwezige dekkingsgraad (in %) 118,2 106,6 104,2"
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2025,reele_dekkingsgraad_pct,,80.5,gevuld,15,"De reële dekkingsgraad was eind 2025 80,5% (eind 2024 was dit 79,2%)."
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2025,deelnemers_actief,23991,23560,vervangen,10,Actieve deelnemers met pensioenopbouw 23.560 23.991 23.597
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2025,deelnemers_slapers,1412,23789,vervangen,10,Gewezen deelnemers 23.789 22.788 21.670
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2025,deelnemers_pensioengerechtigd,9000,10383,vervangen,10,Pensioengerechtigden 10.383 9.819 9.277
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2024,nominale_dekkingsgraad_pct,,106.6,gevuld,10,"Aanwezige dekkingsgraad (in %) 118,2 106,6 104,2"
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2024,reele_dekkingsgraad_pct,,79.2,gevuld,15,"De reële dekkingsgraad was eind 2025 80,5% (eind 2024 was dit 79,2%)."
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2024,deelnemers_actief,,23991,gevuld,10,Actieve deelnemers met pensioenopbouw 23.560 23.991 23.597
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2024,deelnemers_slapers,,22788,gevuld,10,Gewezen deelnemers 23.789 22.788 21.670
23,Medewerkers Apotheken / PMA (Pharmacy Employees),2024,deelnemers_pensioengerechtigd,,9819,gevuld,10,Pensioengerechtigden 10.383 9.819 9.277
24,Metaal & Techniek / PMT (Metal & Technique),2025,nominale_dekkingsgraad_pct,,122.3,gevuld,12,"Dekkingsgraad (D = C/A) 122,3% 108,4%"
24,Metaal & Techniek / PMT (Metal & Technique),2025,reele_dekkingsgraad_pct,,83.1,gevuld,12,"Reële dekkingsgraad 7) 83,1% 80,2%"
